Observation_Day,C_obs,C_pred,C_resid,D_obs,D_pred,D_resid
447.0,0.10073583719035213,0.10046894674184416,-0.0002668904485079726,0.0016202642443996565,0.0016172195036727919,-3.0447407268646177e-6
448.0,0.10076282211378394,0.10061523323164787,-0.00014758888213607657,0.0016208486636453546,0.001617546545354661,-3.3021182906935957e-6
449.0,0.10090892692520849,0.1007702408673613,-0.00013868605784718435,0.001620899482710198,0.0016178938747200755,-3.005607990122592e-6
450.0,0.10129311905542401,0.10093424887625846,-0.00035887017916555464,0.0016220175021367511,0.0016182632190924486,-3.7542830443025327e-6
451.0,0.10152907197349155,0.10110752304893258,-0.00042154892455896487,0.001622551102317606,0.0016186563900425506,-3.894712275055506e-6
452.0,0.10173308510930508,0.10129030256416563,-0.00044278254513945015,0.0016233133882902558,0.0016190752812305393,-4.238107059716502e-6
453.0,0.1019386228170639,0.1014827974777355,-0.00045582533932839175,0.0016242535409898573,0.0016195218691510507,-4.731671838806599e-6
454.0,0.10221192774779128,0.10168518872241604,-0.0005267390253752419,0.001625396969948832,0.0016199982131332002,-5.3987568156318565e-6
455.0,0.10233069190233013,0.10189762810797699,-0.00043306379435313624,0.001625778112935157,0.0016205064553405815,-5.271657594575416e-6
456.0,0.10242059082803796,0.1021202376807784,-0.00030035314725956885,0.001625778112935157,0.0016210488186857554,-4.729294249401512e-6
457.0,0.10303750886570348,0.10235309786977156,-0.0006844109959319167,0.0016292592188769245,0.0016216275823432078,-7.631636533716709e-6
458.0,0.10328685260735725,0.10259625295634184,-0.0006905996510154083,0.0016297419999929362,0.001622245117218122,-7.496882774814251e-6
459.0,0.10354381920873751,0.10284970525104298,-0.000694113957694531,0.0016308600194194893,0.0016229038387624414,-7.95618065704785e-6
460.0,0.1038043431446568,0.10311341171240514,-0.0006909314322516569,0.0016323337722999457,0.001623606191806091,-8.727580493854631e-6
461.0,0.10418937378944224,0.10338728394693478,-0.0008020898425074585,0.0016332485154671255,0.001624354650556978,-8.89386491014746e-6
462.0,0.10454459905269706,0.10367118820911475,-0.0008734108435823063,0.0016341632586343053,0.001625151718600991,-9.011540033314249e-6
463.0,0.10486849436247597,0.10396494540140419,-0.0009035489610717817,0.00163515423039875,0.001625999928902001,-9.15430149674894e-6
464.0,0.1051126291499833,0.10426833054606637,-0.0008442986039169376,0.0016355607829174966,0.0016269018270598664,-8.658955857630173e-6
465.0,0.10544501124359106,0.10458106603510801,-0.0008639452084830412,0.0016359165163714,0.0016278598921987517,-8.056624172648238e-6
466.0,0.10573185945509918,0.10490282421730339,-0.0008290352377957888,0.0016359165163714,0.001628876595972306,-7.039920399093879e-6
467.0,0.10601624294196242,0.10523323268907665,-0.0007830102528857685,0.0016359165163714,0.0016299543248690465,-5.962191502353453e-6
468.0,0.10638142874192653,0.10557187438710786,-0.0008095543548186784,0.0016359165163714,0.0016310953690607411,-4.821147310658802e-6
469.0,0.10678101904878957,0.10591828758833283,-0.0008627314604567476,0.0016359165163714,0.00163230192240241,-3.614593968989969e-6
470.0,0.10711556095265318,0.10627196590994327,-0.0008435950427099076,0.0016359165163714,0.001633576082432324,-2.3404339390758425e-6
471.0,0.10738774786395401,0.10663236297310869,-0.0007553848908453259,0.0016359165163714,0.001634919812106538,-9.967042648619927e-7
472.0,0.10772729544570467,0.10699889497021466,-0.0007284004754900125,0.0016359165163714,0.001636334875650068,4.1835927866809043e-7
473.0,0.10811766209229866,0.10737094106997501,-0.0007467210223236487,0.0016359165163714,0.0016378228655775239,1.9063492061239563e-6
474.0,0.10846905051615781,0.10774785578210858,-0.0007211947340492325,0.0016372378120573263,0.0016393851447033334,2.14733264600718e-6
475.0,0.1088604843631135,0.10812896916705056,-0.0007315151960629457,0.0016403631845451907,0.0016410228448558955,6.596603107048449e-7
476.0,0.1095055307531698,0.10851358683595251,-0.0009919439172172834,0.00164265004246314,0.00164273686687758,8.682441443997983e-8
477.0,0.10986164535005938,0.10890099601160858,-0.000960649338450803,0.0016445811669271863,0.0016445278584207063,-5.33085064799866e-8
478.0,0.1101102268057405,0.10929047409197895,-0.0008197527137615429,0.0016451655861728846,0.001646396163537195,1.230577364310292e-6
479.0,0.11046738319345936,0.10968128922447447,-0.0007860939689848939,0.0016457500054185828,0.0016483418397967263,2.5918343781435385e-6
480.0,0.110803373440671,0.11007271349761953,-0.0007306599430514649,0.001648214730063484,0.0016503646324419676,2.1499023784836858e-6
481.0,0.11113936368788262,0.11046402319888969,-0.000675340488992926,0.0016515941978755648,0.001652463973675061,8.697757994961721e-7
482.0,0.11150988548965528,0.11085449886630244,-0.0006553866233528355,0.001654440065506791,0.0016546389826506008,1.989171438097643e-7
483.0,0.1119239846395311,0.111243435393807,-0.0006805492457240964,0.001657285933138017,0.001656888457070382,-3.9747606763503723e-7
484.0,0.11229000895406513,0.11163014604457486,-0.0006598629094902719,0.0016599285245098697,0.0016592108587349227,-7.176657749470138e-7
485.0,0.11257838173751857,0.11201396770355398,-0.0005644140339645803,0.001660512943755568,0.001661604336031132,1.0913922755639675e-6
486.0,0.11290542782931777,0.11239426699911177,-0.0005111608302059978,0.001661478505987591,0.001664066728623165,2.588222635573805e-6
487.0,0.11352229504791844,0.11277044030303494,-0.0007518547448834983,0.0016647563356699854,0.0016665955674524228,1.8392317824374345e-6
488.0,0.11382400783589325,0.11314191472035005,-0.0006820931155431947,0.0016689743180519812,0.0016691880796903522,2.137616383710711e-7
489.0,0.11414429499206828,0.11350815716127688,-0.0006361378307914028,0.0016721759191371105,0.001671841218035614,-3.347011014965748e-7
490.0,0.11446272725237655,0.11386867355834349,-0.0005940536940330643,0.0016758603013382514,0.00167455165836319,-1.3086429750614262e-6
491.0,0.11475176068367295,0.11422301238432735,-0.0005287482993455994,0.0016785537117749475,0.001677315851571142,-1.2378602038056082e-6
492.0,0.1149668523756223,0.11457076553243593,-0.0003960868431863718,0.0016803577885768856,0.001680130030448237,-2.277581286486141e-7
493.0,0.11515127476193873,0.1149115683163066,-0.0002397064456321346,0.0016815012175358604,0.0016829902096739471,1.488992138086757e-6
494.0,0.11543794510671991,0.115245099800746,-0.00019284530597390992,0.001682492189300305,0.0016858922126888368,3.400023388531754e-6
495.0,0.11566055802026608,0.11557108621277033,-8.947180749574457e-5,0.001687065905136204,0.0016888317231475419,1.7658180113378462e-6
496.0,0.1158611662787351,0.11588929870348243,2.8132424747320806e-5,0.0016904453729482852,0.0016918042871957814,1.3589142474961999e-6
497.0,0.11626698192104146,0.11619955077914014,-6.743114190131683e-5,0.0016960608796134722,0.0016948053779827525,-1.2555016307197377e-6
498.0,0.11648253098457441,0.1165016982739267,1.9167289352292616e-5,0.0016985256042583734,0.0016978303974683028,-6.952067900705197e-7
499.0,0.11664154383846917,0.11679563934995078,0.00015409551148161393,0.0016989829758419634,0.00170087467642293,1.891700580966679e-6
500.0,0.11703508667661586,0.11708131207951294,4.622540289708765e-5,0.0017015747481489726,0.0017039335055284665,2.358757379493804e-6
501.0,0.1172658814596018,0.11735869271489617,9.281125529436718e-5,0.0017064025593090883,0.0017070022083162403,5.996490071520557e-7
502.0,0.11748458130515504,0.11762779664311233,0.00014321533795728925,0.0017111795514043607,0.0017100761143738572,-1.1034370305034943e-6
503.0,0.11774655358442238,0.11788866820116135,0.00014211461673897807,0.0017153213051890916,0.0017131506354243233,-2.170669764768292e-6
504.0,0.11800082677536594,0.11814138030789172,0.00014055353252577507,0.001718522906274221,0.0017162212688110843,-2.3016374631366562e-6
