Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
42.0,7.635078443374899e-6,0.10379102547877561,0.16432205862928653,0.05087231059440743,0.0020457952885510233,0.00246189900553025
43.0,8.078418649176532e-6,0.10466376083643042,0.16441689791312858,0.051161457059093425,0.0020172457244954736,0.002457886890520383
44.0,8.560082141154873e-6,0.10555057313392807,0.16451447146468814,0.05145309848326082,0.001988509399311931,0.00245379923903611
45.0,9.084035551960711e-6,0.10645222038514718,0.16461460061293506,0.051747058097957,0.001959593587733571,0.0024496264525616027
46.0,9.654719404490356e-6,0.10736945936285135,0.164717093935893,0.05204312789132805,0.0019305066515072039,0.0024453585630176493
47.0,1.0277109518109738e-5,0.10830303703907997,0.16482174794876922,0.05234106720372802,0.0019012581416885438,0.00244098529989123
48.0,1.0956786717916574e-5,0.10925368094296511,0.1649283479275483,0.052640601423497586,0.0018718588982350023,0.0024364961659248136
49.0,1.1700015947734501e-5,0.11022208836162764,0.16503666888203128,0.052941420821693085,0.0018423211456526911,0.0024318805220005916
50.0,1.2513836015584785e-5,0.1112089143164267,0.16514647669206187,0.05324317956894709,0.0018126585832728944,0.002427127681786633
51.0,1.34061613367437e-5,0.1122147582572277,0.1652575294199588,0.053545494982368054,0.0017828864685522044,0.0024222270166106424
52.0,1.4385897182405195e-5,0.11324014943223473,0.16536957881086678,0.05384794705471393,0.0017530216916156343,0.00241716807088752
53.0,1.5463070088665256e-5,0.11428553091103895,0.16548237199074053,0.05415007832173005,0.001723082839101887,0.0024119406882447524
54.0,1.664897522699852e-5,0.11535124226459761,0.16559565336888432,0.05445139412621448,0.0016930902452334709,0.002406535148260799
55.0,1.7956342677962993e-5,0.11643750093852577,0.1657091667482914,0.05475136333870121,0.0016630660279323296,0.0024009423134534118
56.0,1.9399524676898074e-5,0.11754438239588896,0.16582265764238455,0.05504941959425291,0.0016330341077460608,0.002395153785826095
57.0,2.0994706003787773e-5,0.11867179915293488,0.16593587579110589,0.05534496310232024,0.0016030202073530667,0.0023891620719030384
58.0,2.2760139756207982e-5,0.119819478885903,0.16604857786263408,0.05563736308156053,0.0015730518294902432,0.0023829607547600313
59.0,2.4716410757868198e-5,0.12098694184877459,0.16616053031936429,0.05592596086353725,0.0015431582113066616,0.002376544671099014
60.0,2.6886728795170747e-5,0.12217347790961232,0.1662715124182929,0.05621007369804478,0.0015133702534025043,0.002369910090929155
61.0,2.929725371536386e-5,0.12337812358536396,0.16638131930678945,0.0564889992782125,0.001483720422173748,0.0023630548969244165
62.0,3.1977454132120996e-5,0.12459963952927089,0.16648976516520997,0.05676202098547827,0.0014542426245556144,0.0023559787600482426
63.0,3.4960501032148615e-5,0.12583648899809358,0.1665966863382833,0.05702841383311522,0.0014249720548432717,0.002348683307596643
