Observation_Day,beta_i_symptomatic,beta_e_asymptomatic,phi_e_prop_asymptomatic,phi_r_recovery,phi_d_mortality,v_vaccination_rate
170.0,0.00041882395045824414,0.06314046501026903,0.000681808138553079,0.08888812859631888,0.0012328876935111188,0.00016456090513351334
171.0,0.0004369275475366002,0.06310763696345496,0.0007188183701320532,0.08918344049171859,0.0012475645105164178,0.00017527759328812148
172.0,0.0004571613667644259,0.06308163474700505,0.0007605457887641237,0.0895002751959254,0.0012633365062334897,0.0001874441704116961
173.0,0.000479835961143563,0.0630630273684473,0.0008077504970749644,0.08984037582233609,0.0012802899727793627,0.00020130741840398603
174.0,0.0005053059951213304,0.06305255603252669,0.0008613155012071574,0.09020553711590813,0.0012985078246618756,0.00021715550988155884
175.0,0.0005339779286286231,0.06305115730876222,0.0009222695157969638,0.09059763636002531,0.0013180683965631074,0.0002353250865073733
176.0,0.0005663191415165059,0.06305999367762795,0.0009918139364497812,0.09101867430021714,0.0013390440078190544,0.00025620916918040506
177.0,0.0006028687824286394,0.06308049250333567,0.0010713546340071507,0.09147082752717128,0.0013614992601527322,0.00028026577267434516
178.0,0.0006442506908079265,0.06311439433513404,0.0011625392869523221,0.09195651364512256,0.0013854890370480649,0.00030802694988100754
179.0,0.000691188821394877,0.06316381120946338,0.0012673010151144893,0.09247847032114265,0.0014110561779305285,0.0003401077741405444
180.0,0.0007445257009719261,0.06323129530271654,0.0013879090971293199,0.0930398489398394,0.0014382288090417706,0.000377214463905038
181.0,0.0008052445715609918,0.06331991786259064,0.0015270275290050804,0.09364432305125962,0.0014670173266608305,0.0004201504467748511
182.0,0.0008744960275694082,0.06343335782391378,0.0016877820891265467,0.0942962110759908,0.0014974110482594114,0.0004698186445824634
183.0,0.0009536301414600017,0.06357599889795752,0.0018738363870894983,0.09500061180655209,0.0015293745742881034,0.0005272176547198952
184.0,0.0010442352980128977,0.06375303322616784,0.0020894770538057122,0.09576355011540928,0.0015628439382467515,0.0005934288619893744
185.0,0.0011481852245569964,0.06397056893192131,0.0023397077352911976,0.09659212895971353,0.0015977226655443926,0.0006695909578552272
186.0,0.00126769601451186,0.06423573811658949,0.002630350833710822,0.09749468229171922,0.0016338779114730396,0.0007568580701433129
187.0,0.0014053952904160836,0.06455680106235631,0.0029681549453231372,0.09848092189212966,0.0016711369031099268,0.0008563380066936756
188.0,0.0015644060289768031,0.0649432416563457,0.0033609046279338113,0.09956206951082806,0.0017092839651083774,0.0009690083496422951
189.0,0.0017484479514756018,0.06540584836308308,0.0038175274549214883,0.10075096411102367,0.0017480584591790405,0.0010956106500671244
190.0,0.001961959727579285,0.06595677445368016,0.0043481912697598745,0.10206213256487569,0.0017871540037408067,0.0012365269481951257
191.0,0.0022102454836179426,0.06660957063673094,0.00496438217988894,0.10351181094176848,0.001826219354416938,0.001391648081831325
192.0,0.0024996491471985195,0.06737918268975543,0.005678951224930913,0.10511790266526391,0.0018648613079538332,0.0015602489446604779
193.0,0.0028377598512374425,0.0682819061045178,0.006506115017229397,0.1068998593923233,0.0019026499329447076,0.0017408905352386125
194.0,0.0032336507544756888,0.06933528907593628,0.007461393293727874,0.10887847059798061,0.0019391263246062154,0.001931370359121408
195.0,0.003698151931650296,0.07055797435077357,0.008561464678210645,0.11107554866499167,0.0019738129270130984,0.0021287397411351074
196.0,0.004244155083407191,0.07196946954453053,0.009823921597538308,0.11351349796503916,0.0020062262707725874,0.0023293981706093707
197.0,0.004886943276816356,0.07358983468326967,0.01126690687876943,0.11621475923212726,0.002035891751134338,0.002529262069970124
198.0,0.005644532269662885,0.07543927524046731,0.01290861873892983,0.11920112480719958,0.002062359842539523,0.0027239913937900095
199.0,0.006538000740460724,0.07753762931157467,0.014766678207859324,0.12249292647037793,0.0020852229377179765,0.002909246292514317
200.0,0.007591774649779778,0.07990373947097099,0.016857363743170574,0.12610810595071517,0.002104131841739399,0.0030809411692401755
201.0,0.008833816088731395,0.08255470406972697,0.01919473165660736,0.13006118903538288,0.0021188108703739886,0.0032354661555274752
202.0,0.010295650114608314,0.08550501001855383,0.02178965705413234,0.13436219736447216,0.0021290705167233723,0.0033698550012737465
203.0,0.01201214609824796,0.08876555998851043,0.024648846619177715,0.1390155468002266,0.002134816767892885,0.003481890330368875
204.0,0.014020956338288978,0.09234262148454045,0.027773889369828726,0.1440189962590854,0.0021360563683298387,0.0035701484334966617
205.0,0.016361509138770186,0.09623674265667823,0.031160421714628756,0.1493627238497592,0.0021328976185371485,0.00363399352891855
206.0,0.019073462694499336,0.10044169826892997,0.03479748601676415,0.1550286151963887,0.002125546636168162,0.0036735347156463998
207.0,0.022194557068793648,0.104943546166121,0.038667155464202844,0.16098984888309736,0.0021142993532090484,0.003689558253052759
208.0,0.0257578600830807,0.10971988628135311,0.042744481681857044,0.16721085349759449,0.002099529839056499,0.003683444840855404
209.0,0.029788490744249007,0.11473941690425815,0.046997796314535135,0.17364768859954652,0.002081675790374298,0.0036570779433738763
210.0,0.03430001516835118,0.11996187343847411,0.051389366654027935,0.1802488690055981,0.0020612221897484836,0.003612746241967713
211.0,0.0392908291133167,0.12533841175428517,0.05587637254852651,0.18695661140043612,0.0020386841942077838,0.0035530417317050367
212.0,0.044740942531432716,0.1308124625648012,0.06041214213523079,0.19370843991600425,0.0020145902732871834,0.0034807548896617817
213.0,0.05060963351023195,0.1363210389728604,0.0649475617317644,0.20043904959752873,0.0019894664886677595,0.0033987693245153433
214.0,0.05683441303023703,0.14179643284500476,0.0694325634819072,0.20708229994386518,0.0019638226169982047,0.003309959690084699
215.0,0.06333162383559714,0.1471681945771221,0.07381759410462185,0.21357319952219203,0.0019381405926125386,0.003217097705651197
216.0,0.06999879588018605,0.15236526220512897,0.07805497835797134,0.2198497486571611,0.0019128655159603638,0.0031227713630718576
217.0,0.0767186329971565,0.15731809449893805,0.0821001090081885,0.22585452877465678,0.0018883992611916985,0.003029321629188804
218.0,0.08336426481889518,0.16196067003676307,0.0859124177001582,0.23153595979569838,0.0018650965403466011,0.0029387993242463604
219.0,0.0898052207656188,0.16623223800354817,0.08945610456738942,0.2368491851138655,0.0018432631520201807,0.002852942767166977
220.0,0.09591350874837186,0.17007874139860116,0.09270062566528205,0.24175658108801182,0.0018231560617347547,0.002773174704252301
221.0,0.10156922042280227,0.17345387280749977,0.09562095429216447,0.24622791966915542,0.001804984925999023,0.002700615385272334
222.0,0.1066652170535312,0.17631976036859154,0.09819764398815554,0.2502402356334324,0.0017889146745188403,0.0026361076557978678
223.0,0.11111063402784216,0.17864731197818762,0.10041672744243722,0.2537774628228488,0.0017750687955569988,0.002580249639811695
224.0,0.11483313101401281,0.18041626623956242,0.10226948736583999,0.25682990745309076,0.001763533018054487,0.0025334308816266867
225.0,0.11777997063658592,0.1816150085282359,0.10375213366679496,0.2593936227529559,0.001754359141845415,0.0024958685075627826
226.0,0.11991811009354043,0.1822402110098747,0.10486541719929708,0.2614697403095896,0.0017475688268618144,0.0024676408486185605
227.0,0.12123353378265422,0.18229634885672272,0.10561420504957518,0.2630638018662126,0.0017431572083507487,0.002448716863031128
